Date,Average Temperature,Minimum Temperature,Maximum Temperature,Precipitation,Wind Direction,Wind Speed,Air Pressure
26/04/2013,9.7,6.7,11.1,0,59,16.2,1028.8
27/04/2013,9.6,5.6,13.3,0,,11.9,1028.8
28/04/2013,11.6,6.7,17.2,0,,15.8,1026
29/04/2013,13.2,8.9,20,0,,15.5,1024.5
30/04/2013,12.3,8.3,16.1,0,,11.9,1026.7
01/05/2013,11.8,7.2,15.6,0,,10.1,1031.1
02/05/2013,13.3,8.3,21.1,0,,14.4,1030.7
03/05/2013,9.4,6.7,11.7,0,,16.2,1031.9
04/05/2013,9.5,6.7,11.1,0,,14.8,1027.9
05/05/2013,8.5,4.4,11.7,0,71,14.4,1026.5
06/05/2013,8.6,6.1,12.8,0,,11.2,1024.1
07/05/2013,14.1,8.3,22.2,0,161,15.1,1021.3
08/05/2013,14.9,11.7,18.9,9.4,,17.6,1021.1
09/05/2013,13,11.7,17.2,15.5,,7.9,
10/05/2013,15.6,13.3,20.6,1.5,,10.8,1013.5
11/05/2013,17.8,15,22.2,0.5,201,19.4,1009.1
12/05/2013,17.3,10.6,22.8,1,,17.3,1004
13/05/2013,12.1,7.8,15.6,0,275,19.8,1013.5
14/05/2013,10.8,6.7,15.6,0,316,18.4,1016.3
15/05/2013,12.7,6.7,19.4,0,,16.9,1013.4
16/05/2013,19.1,11.7,27.8,0,266,21.2,1004.8
17/05/2013,17.2,12.2,21.1,0,348,18.7,1016.1
18/05/2013,14.6,10.6,19.4,0,188,16.6,1024.9
19/05/2013,13.7,10,17.2,4.3,,13,1026.4
20/05/2013,17.9,13.3,27.8,1,,10.4,1016.8
21/05/2013,15.4,11.1,18.9,0.3,,15.5,
22/05/2013,12.4,10.6,15.6,1.3,,13,1014.1
23/05/2013,15.9,11.7,25,1.3,,16.6,1012
24/05/2013,18.8,10.6,21.1,14.5,215,15.8,
25/05/2013,10.7,5.6,12.2,8.6,330,22.7,1007.3
26/05/2013,9.1,5,15.6,1.3,295,25.6,1010.7
27/05/2013,14.7,8.3,22.8,0,,15.8,1019.5
28/05/2013,15.2,10.6,17.8,0,,10.8,1022.9
29/05/2013,16.2,13.9,21.1,21.3,,10.4,1019
30/05/2013,23.3,18.3,31.1,0,261,17.3,1017.1
31/05/2013,28.7,22.2,34.4,0,262,17.6,1016.4
01/06/2013,27.9,21.1,33.3,0,,21.6,1013.2
02/06/2013,25.7,20,31.1,0,207,25.2,1009.6
03/06/2013,21,16.7,25,18,233,16.2,1009.5
04/06/2013,18.6,12.8,22.8,0,306,19.4,1013.2
05/06/2013,18.2,13.9,22.2,0,,14,1020.6
06/06/2013,17.6,13.9,20.6,0.5,164,14.8,1021.1
07/06/2013,14.1,12.8,14.4,78,74,19.4,1016.7
08/06/2013,16.7,12.8,26.1,13.7,308,19.4,1008.6
09/06/2013,21.6,16.1,26.7,0,,14.4,1018.7
10/06/2013,18.8,14.4,20.6,22.4,,13.3,1021.3
11/06/2013,15.2,13.3,17.8,35.1,,14.8,
12/06/2013,16.3,13.3,21.7,1.8,322,18.7,1004
13/06/2013,16.6,11.7,19.4,18.3,,14,1008.2
14/06/2013,14.8,11.7,23.3,25.9,19,18,1005.7
15/06/2013,21.3,16.7,26.7,0,300,16.9,1011.4
16/06/2013,21.3,16.1,25,0,236,16.9,1010.8
17/06/2013,23.2,17.2,30.6,10.9,242,18,
18/06/2013,18.2,15,21.7,16,,11.2,
19/06/2013,17.2,14.4,21.7,0,59,16.2,1015.8
20/06/2013,18.4,14.4,25,0,,14.8,1023.3
21/06/2013,21.6,16.1,28.9,0,,13.3,1023.6
22/06/2013,23.5,18.3,29.4,0,223,19.8,1022.1
23/06/2013,24.6,18.9,32.8,0,225,21.2,1018.7
24/06/2013,28,21.1,35,8.4,256,18.4,1014.1
25/06/2013,27.1,20.6,33.3,0,252,19.1,
26/06/2013,24.8,17.8,28.9,1,,11.2,1008.1
27/06/2013,18.1,16.1,18.9,0.8,65,11.5,1010.2
28/06/2013,20.4,16.7,27.2,11.4,152,21.6,1001.8
29/06/2013,23.3,21.1,28.3,1.8,199,19.8,1002.1
30/06/2013,23.9,20.6,28.9,2.8,196,16.6,1010.1
01/07/2013,24.1,21.7,29.4,0.8,192,14.4,1015.9
02/07/2013,23.4,16.1,27.8,0,165,13.7,1020.6
03/07/2013,22.9,16.7,32.8,0,,19.8,1021.7
04/07/2013,28.4,23.9,34.4,0,244,19.4,1020.8
05/07/2013,29.9,26.1,35,0,241,20.2,1019.1
06/07/2013,29.8,26.1,33.9,0,270,18.4,1016.8
07/07/2013,28.5,23.9,33.9,0,264,12.2,1015
08/07/2013,24.8,18.9,29.4,0.3,125,14.4,1014.6
09/07/2013,19.9,18.3,22.2,0,,9.4,1018.6
10/07/2013,22.2,19.4,30,0.3,,16.2,1013.6
11/07/2013,25,22.8,27.8,4.3,,13,1010
12/07/2013,22.3,18.9,23.3,0,46,20.5,1018.5
13/07/2013,20.1,18.9,22.2,0,,10.4,1025.2
14/07/2013,24.6,20.6,33.9,0,,7.9,1024.4
15/07/2013,27.4,23.3,33.3,0,,11.2,1020.9
16/07/2013,28.2,23.9,33.9,0.3,,10.4,
17/07/2013,27.2,22.8,35,0,,13.7,1019.4
18/07/2013,27.9,24.4,32.8,0,147,16.6,1015.1
19/07/2013,30.5,25.6,37.2,0,231,24.1,1009.9
20/07/2013,30.9,26.1,35.6,0,251,20.5,1005.9
21/07/2013,25.1,20,26.1,0.3,59,14.4,1013.1
22/07/2013,22,20,24.4,0,,11.9,1014.8
23/07/2013,21.9,20,27.8,44.7,,9.7,
24/07/2013,25.6,18.9,31.1,0,,13.7,1005.2
25/07/2013,18.5,15.6,18.9,6.9,11,17.3,1017.6
26/07/2013,18.1,16.7,22.2,25.4,,18,1015
27/07/2013,22.1,16.7,28.9,0,216,14,1016.5
28/07/2013,21.5,19.4,23.9,0.3,,10.4,
29/07/2013,21.6,18.9,27.2,8.4,,10.8,1016.1
30/07/2013,23.4,18.9,28.9,0,,13.7,1017.7
31/07/2013,23.1,20,26.1,0,97,13,1018.7
01/08/2013,22.7,18.9,27.8,0,187,15.5,1014.6
02/08/2013,22.7,18.9,29.4,3.3,,13.3,1009.9
03/08/2013,23.4,20,26.7,0,247,19.1,1009.6
04/08/2013,22.6,18.3,27.8,0,,14.8,1009.6
05/08/2013,20.6,16.1,25.6,0,302,18.4,1014
06/08/2013,20.2,15,23.3,0,,11.5,1019.6
07/08/2013,20.5,16.1,26.1,0,172,15.1,1021.2
08/08/2013,21.9,18.3,27.2,1.8,195,17.6,1018.1
09/08/2013,22.8,21.7,24.4,41.1,201,18.4,
10/08/2013,25.1,19.4,29.4,0,278,19.1,1011.6
11/08/2013,22.4,17.2,27.2,0,,11.2,1017.1
12/08/2013,23.3,18.3,28.9,0,,12.2,1015.1
13/08/2013,21.4,18.9,22.8,0,173,8.6,1009.4
14/08/2013,20.8,17.2,24.4,0,280,22.7,1007.2
15/08/2013,20.4,15.6,25.6,0,277,15.8,1017.1
16/08/2013,21.8,16.7,26.7,0,,13.7,1020.3
17/08/2013,20.7,17.8,23.3,0,,11.9,1024.1
18/08/2013,20.9,17.2,25.6,0,,10.1,1023
19/08/2013,23,17.8,28.9,0,269,14.4,1016
20/08/2013,25.1,20.6,30.6,0,,10.8,1017
21/08/2013,25.5,19.4,31.7,0,,11.9,1018.7
22/08/2013,25.8,21.1,31.7,0,229,19.8,1013.8
23/08/2013,22.9,18.9,25.6,0,,15.5,1013.6
24/08/2013,19.3,15.6,22.2,0,69,14.4,1024.7
25/08/2013,20.5,16.1,28.3,0,218,14.8,1025.5
26/08/2013,22.8,19.4,28.9,0.3,241,18,1016.5
27/08/2013,22.2,18.3,24.4,0.3,,7.9,1011.2
28/08/2013,19.1,16.1,22.8,0,,9.4,
29/08/2013,17.9,16.7,19.4,0,51,15.5,
30/08/2013,21.1,17.2,28.9,0,,13.7,1013
31/08/2013,23.8,20.6,27.8,0,209,15.8,1009.5
01/09/2013,22.9,21.1,26.1,9.7,204,13.7,1010.6
02/09/2013,22.9,20.6,27.2,9.7,,11.5,1008.8
03/09/2013,23.8,19.4,27.2,0,,13.3,1007.1
04/09/2013,22.3,17.2,27.8,0,278,17.6,1011.1
05/09/2013,19.7,13.9,21.1,2.3,,14,1014.7
06/09/2013,16.1,11.1,21.7,0,,14,1021.6
07/09/2013,18.7,12.2,27.2,0,239,17.3,1015.3
08/09/2013,21,13.3,25.6,0,296,21.2,1010.6
09/09/2013,16.1,11.1,21.7,0,,15.1,1021.6
10/09/2013,18.8,15,25,0.8,,18.4,
11/09/2013,26.4,20,36.1,0,,15.8,1016.4
12/09/2013,25.7,19.4,31.1,14.5,,18.4,1010.1
13/09/2013,21.1,16.1,24.4,9.9,,10.8,1003.6
14/09/2013,17.4,13.9,20,0,,15.8,1012.1
15/09/2013,17,12.2,22.8,0,,13.7,1019.1
16/09/2013,17.1,10,21.1,0,294,16.9,1018
17/09/2013,11.7,6.7,15.6,0,,13,1027.6
18/09/2013,16.4,10.6,23.9,0,,12.6,1023.9
19/09/2013,17.3,12.2,21.7,0,,8.6,1019
20/09/2013,17.5,12.8,21.7,0,,8.6,1017.5
21/09/2013,18.6,13.9,25,0,193,20.2,1013.2
22/09/2013,20.2,12.8,22.8,9.4,259,21.2,1005.5
23/09/2013,13.9,10,18.3,0,312,20.9,1012.7
24/09/2013,12.9,8.3,20,0,,15.8,1012.8
25/09/2013,13.9,11.1,17.2,0,,12.2,1013
26/09/2013,14.8,12.8,17.2,0,,11.9,1017.3
27/09/2013,15.6,13.9,18.9,0,,13,1022.5
28/09/2013,15.8,12.8,20.6,0,,9.4,1025.7
29/09/2013,13.8,10.6,16.7,0,,6.1,1022.8
30/09/2013,14,10.6,18.3,0,,6.5,
01/10/2013,16.4,11.1,23.9,0,,10.8,1012.9
02/10/2013,21.2,16.7,27.8,0,272,18.4,1011.5
03/10/2013,21.1,16.1,26.1,0,,11.9,1016.7
04/10/2013,17.6,15,19.4,0.8,,4.7,1017.9
05/10/2013,16.9,15,20,0,,7.2,1019
06/10/2013,14.9,13.3,16.7,7.9,,17.3,1022
07/10/2013,18.9,15.6,25.6,2.8,,19.8,1014.6
08/10/2013,17.2,11.1,20,0,,16.9,1021
09/10/2013,12.9,9.4,16.1,0,43,15.1,1029.9
10/10/2013,12.4,8.9,16.1,0,30,12.2,1025.5
11/10/2013,14.5,11.1,18.9,0,,11.5,1020.7
12/10/2013,13.9,11.7,16.1,0,43,19.8,1025.4
13/10/2013,12.9,9.4,16.1,0,55,13.7,1029.7
14/10/2013,11.3,6.7,16.1,0,,9.4,1027.2
15/10/2013,13.9,11.1,17.8,0,,10.1,1023.9
16/10/2013,13.8,10.6,16.7,0,,8.3,1018.1
17/10/2013,16.4,12.2,22.8,0.8,222,13.7,1010.1
18/10/2013,17.8,13.3,21.1,0.5,255,19.8,1007.2
19/10/2013,14.7,10,19.4,0,212,13.7,1012.7
20/10/2013,14.3,9.4,17.8,0,268,18.7,1010.2
21/10/2013,13.2,7.2,20,0,,13,1017.8
22/10/2013,14.4,8.9,21.7,0,232,16.9,1010.3
23/10/2013,10.7,7.8,11.7,0,,9.4,1005.8
24/10/2013,9.4,6.1,13.3,0,271,22,1008
25/10/2013,7.6,3.9,11.1,0,281,16.9,1016.4
26/10/2013,7.9,2.8,13.9,0,233,21.2,1017.6
27/10/2013,10.2,6.7,13.9,0.8,263,20.2,1012.5
28/10/2013,9.4,3.9,15.6,0,277,19.8,1021
29/10/2013,5.8,1.7,9.4,0,,11.2,
30/10/2013,6.7,3.9,11.7,1.3,,6.1,1025.3
31/10/2013,9.7,4.4,17.2,0.8,,13.3,
01/11/2013,18.6,15.6,22.2,0.8,216,33.8,1001.8
02/11/2013,14.7,10,18.9,0,,7.6,1004.2
03/11/2013,8.3,1.1,11.7,0.8,341,17.3,1018.5
04/11/2013,2.5,-0.5,5.6,0,,14,1036.4
05/11/2013,3.9,0,8.9,0,,11.9,1037.8
06/11/2013,9.6,5.6,16.1,0,,17.3,1026.8
07/11/2013,14.1,6.1,20,5.6,253,22.3,1009.7
08/11/2013,6.8,3.3,10,0,281,21.6,1013.4
09/11/2013,4.7,1.7,8.3,0,265,18.7,1020.6
10/11/2013,8.4,5.6,14.4,0.8,233,18.4,1010.7
11/11/2013,7.8,5,11.7,0,259,20.5,1015.4
12/11/2013,5.2,-1.6,10,2,303,22,
13/11/2013,-0.3,-3.2,3.3,0,288,20.5,1023.7
14/11/2013,3.6,-1,11.1,0,240,19.1,1019.2
15/11/2013,8.3,3.3,16.7,0,214,14,1021.2
16/11/2013,9.1,4.4,15,0,,8.6,1025.1
17/11/2013,7.9,3.3,12.8,1,,5.4,1022.6
18/11/2013,15,10,19.4,3.8,220,21.6,1002.9
19/11/2013,7.6,0,10,0,304,27,1013.9
20/11/2013,1.9,-1.6,6.1,0,335,15.5,1032.5
21/11/2013,3.1,-1.6,8.9,0,,11.2,1034.7
22/11/2013,6.8,5.6,8.9,6.4,,7.9,1019.8
23/11/2013,6.9,-0.5,10,0,286,25.9,1010.1
24/11/2013,-2.1,-6,-0.5,0,293,36,1013.5
25/11/2013,-4.1,-7.7,1.1,0,265,20.2,1026.4
26/11/2013,2.2,0,6.7,2.5,,14.8,1025
27/11/2013,10.7,3.9,16.7,45.5,178,27,998.1
28/11/2013,2.4,-2.7,3.9,0,281,28.4,1016.4
29/11/2013,-1.7,-4.9,1.7,0,,15.8,1035.2
30/11/2013,-3.3,-6.6,1.7,0,,11.9,1039.2
01/12/2013,3.5,1.1,8.3,6.9,,9.7,1022.7
02/12/2013,3.8,2.8,5,0,,8.3,1014.9
03/12/2013,4.6,2.2,9.4,0,320,12.6,1012.5
04/12/2013,4.2,1.7,7.2,0,,11.5,1018.8
05/12/2013,5.9,2.2,13.9,0.3,,6.5,1019.5
06/12/2013,11.2,1.7,13.9,7.6,290,17.3,1015
07/12/2013,3.3,-0.5,5.6,2.3,318,16.9,1024
08/12/2013,-0.9,-2.7,0,0,,10.4,1034
09/12/2013,1.2,-3.2,6.1,10.9,,19.1,1020.8
10/12/2013,1.9,-2.7,3.3,1.8,255,16.9,1012.1
11/12/2013,-2.2,-4.3,0,0,244,22.3,1020.5
12/12/2013,-3.9,-7.7,-2.7,0,288,18.7,1022.7
13/12/2013,-4.9,-8.8,-1,0,268,22,1019.4
14/12/2013,-8.3,-11.6,-0.5,5.6,14,21.6,1032.2
15/12/2013,-1.1,-4.9,3.3,16.3,321,30.2,1004.2
16/12/2013,-2.4,-6.6,-1,0,276,22.3,1014.5
17/12/2013,-7.7,-12.7,-2.1,13.5,353,15.5,1021.3
18/12/2013,-3.8,-7.1,2.2,0,299,20.9,1013.9
19/12/2013,0.8,-2.7,6.1,0,234,18.7,1017.6
20/12/2013,4.3,0,10.6,0,,13,1016.6
21/12/2013,7.8,5,12.2,0,215,18.4,1013
22/12/2013,7.6,1.7,12.2,0.3,59,12.2,1012.6
23/12/2013,1.5,0.6,4.4,17.3,,9.4,1017.3
24/12/2013,1.8,-2.1,4.4,0,321,16.9,1019.9
25/12/2013,-5.1,-9.3,-2.1,0,,15.8,1030.7
26/12/2013,-2.6,-6,2.2,1.3,,11.2,1025.4
27/12/2013,-0.7,-2.1,1.7,0,257,18.7,1023.9
28/12/2013,1.9,-2.7,8.9,0,230,16.9,1019.4
29/12/2013,3.3,0.6,6.7,33.5,,13.3,1010.3
30/12/2013,3.6,-7.1,6.7,0,286,21.6,1011.1
31/12/2013,-6.3,-9.9,-3.2,0,,15.1,1020
01/01/2014,-4.4,-7.1,-1.6,0,291,15.1,1026.8
02/01/2014,-6.4,-16.6,-3.2,9.7,13,28.1,1021.2
03/01/2014,-14.2,-16.6,-9.9,4.8,336,27.4,1016
04/01/2014,-12,-16.6,-2.7,0,,19.8,1028.9
05/01/2014,-1.7,-4.3,3.3,1,,13,1023.9
06/01/2014,6.8,-1.6,13.3,8.1,,22.3,
07/01/2014,-6.3,-12.7,-1.6,0,272,31.7,
08/01/2014,-10.6,-13.8,-5.5,0,256,20.5,1029
09/01/2014,-5.2,-7.1,-1,0,,13.7,1034.7
10/01/2014,-3.8,-7.7,2.8,0.5,185,7.9,1031.4
11/01/2014,6.2,1.1,15,13.7,,18.4,1008.8
12/01/2014,8.8,2.8,12.2,0,269,25.9,1002.2
13/01/2014,4.6,-0.5,10.6,0,215,18.4,1017
14/01/2014,8.3,6.7,10,20.1,,12.6,
15/01/2014,6.1,1.7,8.9,0,,10.4,1013.6
16/01/2014,2.8,0.6,3.9,0,,5,
17/01/2014,4,0.6,7.8,0,,12.6,
18/01/2014,1.8,0,3.3,20.1,,11.2,
19/01/2014,0.4,-1,1.7,0.8,243,23.8,1003.6
20/01/2014,1.6,-3.2,5,0,242,24.1,1002.4
21/01/2014,-6.6,-11.6,-3.2,2.8,349,18.7,1015.4
22/01/2014,-11.3,-13.8,-7.7,0,334,26.6,
23/01/2014,-10.9,-14.3,-5.5,0,289,20.5,1016.6
24/01/2014,-10.7,-13.8,-7.1,0,270,22,1022.1
25/01/2014,-4.3,-9.3,3.3,0,212,27.7,1004.3
26/01/2014,-5.6,-8.8,-3.2,0,251,25.2,1005.6
27/01/2014,-0.5,-6,8.3,0.5,232,22.3,1006.6
28/01/2014,-7.4,-10.5,-6,0,,20.5,1023.2
29/01/2014,-6.9,-9.3,-2.7,0.3,,15.8,1019.5
30/01/2014,-5.4,-8.8,-1,0,246,15.8,1027.1
31/01/2014,-1.1,-5.5,6.1,0,243,14.8,1019.2
01/02/2014,3.3,0,5.6,0,,13.3,1024.2
02/02/2014,4.4,-0.5,12.8,0.5,,10.8,1013.8
03/02/2014,2.4,-2.7,5,4.3,0,14.8,1021.7
04/02/2014,-1.8,-4.9,1.7,0,,9.7,1028.8
05/02/2014,-0.7,-4.3,0.6,28.2,59,17.3,1014.4
06/02/2014,-4.8,-7.1,-2.1,0,,12.6,1021.8
07/02/2014,-4.3,-7.1,-1,0,259,17.3,1022.8
08/02/2014,-4.2,-7.7,-1.6,0,272,16.2,1023.2
09/02/2014,-3.5,-6,-1,0.8,,12.2,1018.9
10/02/2014,-3.6,-6.6,-1,0,297,18.7,1016.9
11/02/2014,-6.4,-9.9,-3.8,0,303,16.6,1025.8
12/02/2014,-8.6,-13.2,-4.9,0,7,12.2,1032.7
13/02/2014,-1.6,-6,2.2,34.3,68,32,1012.1
14/02/2014,1.1,-1.6,2.8,7.9,287,29.5,
15/02/2014,-0.1,-2.7,1.7,8.4,,15.5,1006.4
16/02/2014,-1.9,-4.9,0.6,0.5,292,26.6,1006.7
17/02/2014,-5.3,-9.9,-1.6,0,319,23.8,1022.8
18/02/2014,-4.7,-9.9,1.7,5.6,2,16.9,1020.7
19/02/2014,-1.7,-6,2.2,6.4,,13,1013.3
20/02/2014,3.7,0.6,8.9,2,251,15.1,1019.6
21/02/2014,2.8,1.1,6.7,5.6,,14.4,1014.2
22/02/2014,5.3,1.1,10,0,223,23,1012.8
23/02/2014,5.9,1.1,11.1,0,216,9.7,1012.9
24/02/2014,3.3,-4.3,7.2,0,282,26.3,1009.1
25/02/2014,-3.7,-5.5,-1.6,0,278,16.9,1013.9
26/02/2014,-4.7,-8.8,0,0,259,18.7,1011.3
27/02/2014,-6.6,-11,-1,0.5,,19.1,1007.5
28/02/2014,-7.7,-12.1,-3.8,0,282,19.1,1024
01/03/2014,-4.4,-8.8,2.2,0,,13,1026.7
02/03/2014,1.2,-1,4.4,0,,11.2,1016.7
03/03/2014,-4.1,-8.8,-1,0,341,18.7,1020.3
04/03/2014,-6.6,-11,-0.5,0,281,13,1026.4
05/03/2014,-3.2,-6.6,-1.6,0,1,15.5,1026.8
06/03/2014,-7,-11.6,-3.8,0,,11.9,1035.5
07/03/2014,-3.7,-8.8,1.1,0,,7.6,1025.7
08/03/2014,3.1,-2.7,12.8,0,,12.2,1009.3
09/03/2014,2.6,-1,6.1,0,,16.9,
10/03/2014,1.7,-2.1,6.7,0.8,220,13,1008.7
11/03/2014,6.7,1.1,15.6,0,249,13.7,1001.9
12/03/2014,5.7,2.8,7.8,10.9,,7.9,997.7
13/03/2014,-2.3,-8.2,2.8,1.5,319,29.5,
14/03/2014,-4.3,-8.8,3.9,0,,22.7,1017.5
15/03/2014,6.5,3.3,13.9,0.3,242,23.4,1008.2
16/03/2014,1.5,-4.9,2.8,0,295,26.3,1018
17/03/2014,-5.1,-8.8,-2.7,0,,13.3,1020.7
18/03/2014,-2.9,-6.6,0.6,0,,13.3,1025.9
19/03/2014,0.4,-2.7,5,0,77,16.6,1025.3
20/03/2014,5.4,2.8,11.1,7.4,294,19.4,1006.3
21/03/2014,4.3,1.1,7.2,0,273,27,1010.8
22/03/2014,4.3,-2.1,13.9,0,241,22.7,1012.1
23/03/2014,3.8,-5.5,6.7,0,284,20.9,1014.5
24/03/2014,-3.8,-8.2,0.6,0,324,20.5,1019.8
25/03/2014,-1.5,-6,3.9,0,226,16.2,1018.8
26/03/2014,0,-4.3,1.7,0,349,41.8,1007
27/03/2014,-0.9,-6,7.8,0,268,23,1023.6
28/03/2014,6.7,1.7,15.6,0.5,216,23,1018.8
29/03/2014,8.6,3.9,11.1,24.6,,20.2,1020.9
30/03/2014,4.6,2.2,6.1,56.6,15,27.7,
31/03/2014,2.4,1.1,5.6,11.2,2,21.6,
01/04/2014,4.7,1.1,8.3,0,,15.5,1017.4
02/04/2014,5.6,2.8,7.8,0,,9,1018.7
03/04/2014,5.9,1.1,12.2,0,,15.1,1018.5
04/04/2014,4.3,2.8,6.7,6.6,,18,1019.3
05/04/2014,6.2,3.3,12.2,5.8,309,21.6,1008.3
06/04/2014,6.7,1.7,15,0,283,14,1018.1
07/04/2014,9.2,3.3,15,1,,12.2,1021.3
08/04/2014,11.1,6.1,18.3,17,,21.6,998.8
09/04/2014,10.1,5,15,0,302,21.2,1004
10/04/2014,8.6,1.1,15.6,0,223,22.3,1018.2
11/04/2014,13.4,8.9,20.6,0,228,16.2,
12/04/2014,14.5,9.4,20.6,1,,13.7,1019.4
13/04/2014,11.1,7.2,17.2,1,,12.2,1021.5
14/04/2014,17.6,13.9,23.9,0,212,34.9,1014.3
15/04/2014,16.4,5,20,15.7,202,38.2,1007.1
16/04/2014,5.6,-0.5,7.2,9.1,331,24.1,
17/04/2014,2.2,0,4.4,0,49,22.3,1040.9
18/04/2014,2.9,-0.5,5.6,0,70,14,
19/04/2014,8.8,2.8,17.2,0,301,19.4,1023.6
20/04/2014,7.5,3.9,8.9,0,72,14.8,1031.5
21/04/2014,9.3,2.2,20.6,0,192,14.8,1019.2
22/04/2014,14.3,8.3,22.8,1.3,205,19.1,1003.6
23/04/2014,11.8,7.8,13.9,5.8,290,24.1,
24/04/2014,9.8,5.6,15,0,320,33.5,1005.8
25/04/2014,10.3,6.1,13.9,0,,16.9,1013.2
26/04/2014,7.6,5.6,8.3,5.1,84,11.9,1010.1
27/04/2014,6.3,5,10,3.8,,10.4,1013.8
28/04/2014,8.5,5.6,12.2,0,19,18.4,1018.2
29/04/2014,6.6,5.6,6.7,0,61,27.4,1030.3
30/04/2014,5.9,5,7.2,8.9,92,22.7,1031.3
01/05/2014,9.7,6.7,15.6,15.7,,9,1010.4
02/05/2014,13.9,10,20.6,0.3,,16.6,1005.9
03/05/2014,14.5,10,19.4,0,,13.7,1009
04/05/2014,13.9,10,16.7,0,254,25.9,1002.6
05/05/2014,13.4,10,18.9,0,313,22,1006.9
06/05/2014,13.2,8.3,17.8,0,,16.2,1011.8
07/05/2014,13,8.3,20.6,0,,15.5,1020.2
08/05/2014,13.1,8.9,16.7,0,,10.4,1021.1
09/05/2014,12.1,10,15,0,,6.8,1022.3
10/05/2014,18.7,13.9,26.7,8.6,212,18.7,1011.2
11/05/2014,20.9,16.7,26.7,0,274,19.1,1012.3
12/05/2014,21.9,11.1,29.4,0,,17.6,1017
13/05/2014,12.4,7.8,11.1,0,66,16.9,1025.5
14/05/2014,10.4,7.8,17.2,0,,14.8,1026.4
15/05/2014,17.6,13.9,25,0,155,14,1024.6
16/05/2014,18.4,15,22.8,1.5,164,22.3,1019.3
17/05/2014,18.8,14.4,23.9,16.5,229,20.5,
